,model,oxide_main_minion,conjure,oxide_main_sat,oxide_main_sat_direct,oxide_main_sat_order,oxide_main_treemorph
64,models/custom/STARIS_2022/basic/bool-xor/xor.essence,-1.0,0.7225739390123636,-1.0,,,
65,models/custom/STARIS_2022/basic/decision-where-error/decision-where.essence,-1.0,-1.0,-1.0,,,
66,models/custom/STARIS_2022/basic/enum-directions/directions.essence,-1.0,0.744910994078964,-1.0,,,
67,models/custom/STARIS_2022/basic/enum-operators/pred-basic/pred-basic.essence,-1.0,0.723571483977139,-1.0,,,
68,models/custom/STARIS_2022/basic/enum-operators/succ-basic/succ-basic.essence,-1.0,0.727878371020779,-1.0,,,
69,models/custom/STARIS_2022/basic/multiset-operators/hist-type-error/hist-type-error.essence,-1.0,-1.0,-1.0,,,
70,models/custom/STARIS_2022/basic/factor/factor.essence,0.0720993309514597,0.7226100430125371,-1.0,,,
71,models/custom/STARIS_2022/basic/letting-arithmetic/letting.essence,0.07220531906932592,0.7303285551024601,-1.0,,,
72,models/custom/STARIS_2022/basic/list-operations/exists/exists.essence,-1.0,0.7105811249930412,-1.0,,,
73,models/custom/STARIS_2022/basic/list-operations/sum-basic/sum.essence,-1.0,0.7257094939704984,-1.0,,,
74,models/custom/STARIS_2022/basic/list-operations/sum-matrix/sum-matrix.essence,-1.0,0.7321869649458677,-1.0,,,
75,models/custom/STARIS_2022/basic/list-operations/forAll/forAll.essence,-1.0,0.7604057160206139,-1.0,,,
76,models/custom/STARIS_2022/basic/multiple-objective-error/multiple-objective.essence,-1.0,-1.0,-1.0,,,
77,models/custom/STARIS_2022/basic/matrices/allDiff-basic/allDiff.essence,-1.0,0.7281124190194532,-1.0,,,
78,models/custom/STARIS_2022/basic/partitions/partition-operator-errors/set-apart/set-apart.essence,-1.0,-1.0,-1.0,,,
79,models/custom/STARIS_2022/basic/partitions/partition-operator-errors/set-participant/set-participant.essence,-1.0,-1.0,-1.0,,,
80,models/custom/STARIS_2022/basic/matrices/alldifferent_except/alldifferent_except.essence,-1.0,0.7353855960536748,-1.0,,,
81,models/custom/STARIS_2022/basic/partitions/partition-operator-errors/set-parts-together/set-parts-together.essence,-1.0,-1.0,-1.0,,,
82,models/custom/STARIS_2022/basic/matrices/flatten/flatten.essence,-1.0,0.730089390068315,-1.0,,,
83,models/custom/STARIS_2022/basic/partitions/partition-operator-errors/set-party/set-party.essence,-1.0,-1.0,-1.0,,,
84,models/custom/STARIS_2022/basic/matrices/matrix-basic/matrix-basic.essence,-1.0,0.7403910050634295,-1.0,,,
85,models/custom/STARIS_2022/basic/parameter-error/parameter-error.essence,-1.0,-1.0,-1.0,,,
86,models/custom/STARIS_2022/basic/matrices/matrix-bool/matrix-bool.essence,-1.0,0.7500938919838518,-1.0,,,
87,models/custom/STARIS_2022/basic/parameter-simple/simple.essence,-1.0,-1.0,-1.0,,,
88,models/custom/STARIS_2022/basic/record-type-error/record.essence,-1.0,-1.0,-1.0,,,
