models,oxide_main_minion,oxide_main_sat
models/parse_print/autogen-bilals-fixed/b585a56df7b92c03073077c213cf70e4/b585a56df7b92c03073077c213cf70e4.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/be5b5a644521be5b55c6a12c503cad3a/be5b5a644521be5b55c6a12c503cad3a.eprime.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/a46f0f8380128f04446402757318c1d6/a46f0f8380128f04446402757318c1d6.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/c120a9cd6dd0f5f002a4cda9613481d1/c120a9cd6dd0f5f002a4cda9613481d1.eprime.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/4debc13b7368939beb13d0408f1225f5/4debc13b7368939beb13d0408f1225f5.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/120a84aa329880477a4406a117b64f80/120a84aa329880477a4406a117b64f80.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/603465a931823cf8433459de2d015883/603465a931823cf8433459de2d015883.eprime.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/b3d03314511a8876a66d524dd0240cdb/b3d03314511a8876a66d524dd0240cdb.eprime-solution.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/84c8be86e209af5b5ab3e1db3bbc0ca9/84c8be86e209af5b5ab3e1db3bbc0ca9.eprime.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/a24146deb495305d4ee888ff7800707f/a24146deb495305d4ee888ff7800707f.eprime-param.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/647f57337d2730de29c992b43a041f89/647f57337d2730de29c992b43a041f89.eprime-solution.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/c6f1aead53d40454b7d12ecb7a129adb/c6f1aead53d40454b7d12ecb7a129adb.eprime.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/399b8bc4443e15daa66f9294ca5a959e/399b8bc4443e15daa66f9294ca5a959e.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/f019c5cdd99099f33d53cf9be0031c0b/f019c5cdd99099f33d53cf9be0031c0b.essence,-2.0,-2.0
